City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,itaituba,-4.2761,-55.9836,303.24,74,40,3.6,BR,1669998168
335,bathsheba,13.2167,-59.5167,299.85,88,75,10.8,BB,1669998168
336,faanui,-16.4833,-151.75,300.02,77,31,8.02,PF,1669998169
337,burhar,23.2167,81.5333,289.31,56,0,0.32,IN,1669998170
338,geraldton,-28.7667,114.6,292.38,77,75,6.17,AU,1669998170
339,sao filipe,14.8961,-24.4956,296.38,65,79,4.64,CV,1669998170
340,jackson,42.4165,-122.8345,273.73,89,20,0.0,US,1669997912
341,xochistlahuaca,16.7833,-98.25,301.46,41,9,1.01,MX,1669998171
342,carutapera,-1.195,-46.02,301.21,78,83,4.47,BR,1669998172
343,vila velha,-20.3297,-40.2925,296.12,97,100,1.54,BR,1669998172
344,wangou,42.0623,126.9127,264.01,94,100,2.29,CN,1669998173
345,sitka,57.0531,-135.33,268.09,54,0,2.57,US,1669998173
346,mitsamiouli,-11.3847,43.2844,301.31,69,20,1.54,KM,1669998173
347,tarakan,3.3,117.6333,299.55,82,33,2.96,ID,1669998174
348,mecca,21.4267,39.8261,300.65,59,48,4.93,SA,1669998174
349,fare,-16.7,-151.0167,300.02,77,14,8.35,PF,1669998175
350,inirida,3.8653,-67.9239,303.4,54,100,1.86,CO,1669998175
351,margate,51.3813,1.3862,281.31,73,91,4.47,GB,1669998176
352,mananara,-16.1667,49.7667,297.01,85,27,1.83,MG,1669998176
353,kara-tyube,44.6336,45.4369,276.54,60,100,8.64,RU,1669998177
354,raudeberg,61.9875,5.1352,276.52,65,76,4.83,NO,1669998177
355,oranjemund,-28.55,16.4333,290.71,66,88,11.25,NA,1669998178
356,bubaque,11.2833,-15.8333,300.35,48,78,4.91,GW,1669998178
357,aksarka,66.5606,67.7975,258.93,89,53,3.16,RU,1669998179
358,rundu,-17.9333,19.7667,308.3,11,10,4.19,NA,1669998179
359,krasnoye,49.9145,24.6134,272.35,93,100,2.88,UA,1669998180
360,paamiut,61.994,-49.6678,275.58,89,100,23.16,GL,1669998180
361,chichica,8.4922,-82.1627,300.79,55,13,0.86,PA,1669998181
362,la ronge,55.1001,-105.2842,243.29,69,20,2.57,CA,1669998181
363,kodinar,20.7903,70.7031,296.38,67,98,2.93,IN,1669998182
364,nirgua,10.1553,-68.5663,295.0,84,56,1.97,VE,1669998182
365,ikongo,-21.8833,47.4333,295.26,97,69,0.97,MG,1669998183
366,devonport,-41.1667,146.35,285.94,92,95,0.5,AU,1669998183
